id,author_id,parent_id,step,week_number,step_number,timestamp,likes
8747569,0344d7b3-82b5-4fd2-8395-4feed1bce092,8744657,1.1,1,1,2015-11-09 07:48:22 UTC,1
8747582,0344d7b3-82b5-4fd2-8395-4feed1bce092,8744378,1.1,1,1,2015-11-09 07:48:56 UTC,2
8747615,0344d7b3-82b5-4fd2-8395-4feed1bce092,8743335,1.1,1,1,2015-11-09 07:50:54 UTC,2
8747725,f81c7a8a-31b0-40dd-a9ab-4234ba97da67,,1.2,1,2,2015-11-09 07:57:55 UTC,5
8747746,0344d7b3-82b5-4fd2-8395-4feed1bce092,8746818,1.2,1,2,2015-11-09 07:59:17 UTC,0
8747756,0344d7b3-82b5-4fd2-8395-4feed1bce092,8745959,1.2,1,2,2015-11-09 07:59:54 UTC,1
8747839,0344d7b3-82b5-4fd2-8395-4feed1bce092,,1.3,1,3,2015-11-09 08:04:37 UTC,2
8747843,0344d7b3-82b5-4fd2-8395-4feed1bce092,8746183,1.3,1,3,2015-11-09 08:05:03 UTC,1
8747928,6bc6e4d4-c24d-482d-8ef4-4719b1f1788a,,1.1,1,1,2015-11-09 08:11:04 UTC,0
8747954,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.14,1,14,2015-11-09 08:12:19 UTC,2
8748111,63d93412-97f0-488c-96f8-4d95696ebf62,,1.6,1,6,2015-11-09 08:21:08 UTC,10
8748206,f81c7a8a-31b0-40dd-a9ab-4234ba97da67,,1.5,1,5,2015-11-09 08:26:11 UTC,5
8748279,48f1801f-1b7e-4822-a80e-75b2d81d633f,,1.2,1,2,2015-11-09 08:30:13 UTC,3
8748377,b7c2d5da-9e7e-4235-a4ce-6019365aa569,,1.12,1,12,2015-11-09 08:36:19 UTC,1
8748434,a3bf0376-0c1a-4c65-a20d-82dc1411973c,,1.2,1,2,2015-11-09 08:39:04 UTC,7
8748450,af354d5e-275d-4ca6-a301-461698aeef83,,1.1,1,1,2015-11-09 08:39:55 UTC,1
8748456,6e167588-93ff-44c4-9cf0-66dfb1f017d6,,1.1,1,1,2015-11-09 08:40:16 UTC,0
8748466,af354d5e-275d-4ca6-a301-461698aeef83,8744378,1.1,1,1,2015-11-09 08:40:39 UTC,1
8748493,6e167588-93ff-44c4-9cf0-66dfb1f017d6,,1.2,1,2,2015-11-09 08:42:12 UTC,2
8748502,f81c7a8a-31b0-40dd-a9ab-4234ba97da67,,1.6,1,6,2015-11-09 08:42:48 UTC,1
8748632,4f854c82-4eff-458f-afa3-93795b3cfe20,,1.1,1,1,2015-11-09 08:49:03 UTC,1
8748723,f81c7a8a-31b0-40dd-a9ab-4234ba97da67,,1.7,1,7,2015-11-09 08:53:00 UTC,0
8748808,8cd378a7-a1c0-4979-8a78-45fbd1b226a7,,1.3,1,3,2015-11-09 08:57:57 UTC,5
8748840,a736dac2-9d39-4e26-8146-d265cd18c773,,1.1,1,1,2015-11-09 08:59:19 UTC,1
8748845,af354d5e-275d-4ca6-a301-461698aeef83,,1.2,1,2,2015-11-09 08:59:24 UTC,4
8748858,a4edcd40-745a-4db7-8464-18191fc79564,,1.1,1,1,2015-11-09 08:59:58 UTC,0
8748893,af354d5e-275d-4ca6-a301-461698aeef83,,1.2,1,2,2015-11-09 09:01:33 UTC,2
8748922,8d443d2f-3d2a-4eb8-9b92-682851161ebe,,1.1,1,1,2015-11-09 09:02:22 UTC,0
8748936,e625bcdb-3347-4053-a15c-e9c2f3438179,,1.1,1,1,2015-11-09 09:02:49 UTC,0
8748947,bf597970-a2b9-47bd-bcab-75f917991227,8747725,1.2,1,2,2015-11-09 09:03:02 UTC,2
8748972,af354d5e-275d-4ca6-a301-461698aeef83,8743917,1.2,1,2,2015-11-09 09:04:24 UTC,0
8748980,bf597970-a2b9-47bd-bcab-75f917991227,,1.2,1,2,2015-11-09 09:04:38 UTC,1
8749033,bf597970-a2b9-47bd-bcab-75f917991227,8748980,1.2,1,2,2015-11-09 09:06:29 UTC,1
8749038,ed617063-5827-4344-afdf-0a1286d849c9,,1.1,1,1,2015-11-09 09:06:48 UTC,1
8749100,9e01422b-84bc-402b-a308-6f7fa445b2bd,,1.2,1,2,2015-11-09 09:09:55 UTC,4
8749106,a4635d64-9c3b-4129-840b-ab907036b7b8,,1.1,1,1,2015-11-09 09:10:04 UTC,1
8749149,33a0fdf0-4523-47eb-9f85-83604fc06a9c,,1.3,1,3,2015-11-09 09:12:17 UTC,1
8749181,af354d5e-275d-4ca6-a301-461698aeef83,8743337,1.2,1,2,2015-11-09 09:13:52 UTC,2
8749201,9e01422b-84bc-402b-a308-6f7fa445b2bd,,1.3,1,3,2015-11-09 09:14:39 UTC,4
8749286,8cd378a7-a1c0-4979-8a78-45fbd1b226a7,8746533,1.4,1,4,2015-11-09 09:18:11 UTC,1
8749308,ed617063-5827-4344-afdf-0a1286d849c9,,1.2,1,2,2015-11-09 09:19:18 UTC,1
8749317,cafec2c5-105d-4a15-866e-1b2d4d983646,,1.4,1,4,2015-11-09 09:19:47 UTC,1
8749343,bf597970-a2b9-47bd-bcab-75f917991227,,1.3,1,3,2015-11-09 09:20:49 UTC,1
8749381,41284916-2f8c-4b02-bb13-bed7347f5b6c,,1.7,1,7,2015-11-09 09:22:22 UTC,4
8749448,9e01422b-84bc-402b-a308-6f7fa445b2bd,8746533,1.4,1,4,2015-11-09 09:25:24 UTC,1
8749568,60266e82-b591-4bed-8ecd-8c92e8aef187,,1.4,1,4,2015-11-09 09:30:34 UTC,12
8749776,9e01422b-84bc-402b-a308-6f7fa445b2bd,8748206,1.5,1,5,2015-11-09 09:39:16 UTC,0
8749783,bf597970-a2b9-47bd-bcab-75f917991227,8746533,1.4,1,4,2015-11-09 09:39:29 UTC,5
8749797,af354d5e-275d-4ca6-a301-461698aeef83,,1.3,1,3,2015-11-09 09:39:54 UTC,0
8749810,af354d5e-275d-4ca6-a301-461698aeef83,8749343,1.3,1,3,2015-11-09 09:40:18 UTC,0
8749903,872ec64b-4151-4d48-84d2-1281c3bd7d00,,1.3,1,3,2015-11-09 09:43:41 UTC,2
8749928,8cd378a7-a1c0-4979-8a78-45fbd1b226a7,,1.5,1,5,2015-11-09 09:45:01 UTC,1
8749936,a03af9c9-ce83-45b0-857b-ee4d155adb7d,,1.2,1,2,2015-11-09 09:45:13 UTC,18
8749951,cafec2c5-105d-4a15-866e-1b2d4d983646,,1.5,1,5,2015-11-09 09:45:38 UTC,2
8749981,af354d5e-275d-4ca6-a301-461698aeef83,8747839,1.3,1,3,2015-11-09 09:46:47 UTC,2
8750055,283e8b75-2b50-4fd9-8b04-0a809c293a81,,1.3,1,3,2015-11-09 09:49:16 UTC,6
8750057,08c97010-5727-4637-b88d-719b91424e28,8748808,1.3,1,3,2015-11-09 09:49:22 UTC,0
8750127,ed617063-5827-4344-afdf-0a1286d849c9,,1.4,1,4,2015-11-09 09:52:08 UTC,1
8750172,af354d5e-275d-4ca6-a301-461698aeef83,8743085,1.3,1,3,2015-11-09 09:53:56 UTC,1
8750175,bf597970-a2b9-47bd-bcab-75f917991227,,1.5,1,5,2015-11-09 09:54:13 UTC,2
8750192,76e7ad2c-41e1-44d9-8d49-ea7e53e68a5a,,1.4,1,4,2015-11-09 09:54:45 UTC,2
8750210,af354d5e-275d-4ca6-a301-461698aeef83,8743752,1.3,1,3,2015-11-09 09:55:43 UTC,1
8750341,872ec64b-4151-4d48-84d2-1281c3bd7d00,,1.4,1,4,2015-11-09 10:00:32 UTC,32
8750344,283e8b75-2b50-4fd9-8b04-0a809c293a81,8743241,1.4,1,4,2015-11-09 10:00:36 UTC,3
8750480,c7d172c8-2ce9-47ad-a4d6-2ee0e56f41b8,,1.2,1,2,2015-11-09 10:05:37 UTC,1
8750545,9e01422b-84bc-402b-a308-6f7fa445b2bd,,1.7,1,7,2015-11-09 10:07:44 UTC,0
8750571,ed617063-5827-4344-afdf-0a1286d849c9,,1.5,1,5,2015-11-09 10:08:44 UTC,1
8750614,76e7ad2c-41e1-44d9-8d49-ea7e53e68a5a,,1.7,1,7,2015-11-09 10:10:00 UTC,6
8750680,18290ccf-b2e2-4127-b681-a1a8c0be4688,,1.3,1,3,2015-11-09 10:12:14 UTC,1
8750748,33a0fdf0-4523-47eb-9f85-83604fc06a9c,,1.5,1,5,2015-11-09 10:14:21 UTC,0
8750766,33a0fdf0-4523-47eb-9f85-83604fc06a9c,8746504,1.5,1,5,2015-11-09 10:15:03 UTC,1
8750814,bf597970-a2b9-47bd-bcab-75f917991227,,1.6,1,6,2015-11-09 10:16:57 UTC,3
8750830,283e8b75-2b50-4fd9-8b04-0a809c293a81,8743380,1.5,1,5,2015-11-09 10:17:17 UTC,1
8750961,0e7f82f5-a4c1-4ade-ac75-620f258f1e1f,,1.3,1,3,2015-11-09 10:21:59 UTC,0
8751146,0e7f82f5-a4c1-4ade-ac75-620f258f1e1f,8744654,1.3,1,3,2015-11-09 10:28:52 UTC,0
8751310,9813d938-b96c-4908-8cd5-9bb2026252c6,,1.2,1,2,2015-11-09 10:34:09 UTC,3
8751340,a736dac2-9d39-4e26-8146-d265cd18c773,,1.2,1,2,2015-11-09 10:34:59 UTC,0
8751345,da99df2c-0d40-46ee-bc24-4da06fd86add,8743380,1.5,1,5,2015-11-09 10:35:07 UTC,3
8751368,50e798f1-894e-4cca-818b-9c2cd2cef61d,,1.3,1,3,2015-11-09 10:35:51 UTC,4
8751425,18290ccf-b2e2-4127-b681-a1a8c0be4688,,1.4,1,4,2015-11-09 10:37:53 UTC,3
8751547,392fd320-2f60-4a9f-ae0a-1cc69f0eac71,,1.1,1,1,2015-11-09 10:42:18 UTC,2
8751589,2317e3dd-a605-4206-8f37-8d76824b4ccc,,1.11,1,11,2015-11-09 10:43:51 UTC,1
8751616,d7e31d27-b039-403c-9567-d220dc5fc34d,,1.3,1,3,2015-11-09 10:44:43 UTC,2
8751630,8397a66f-c506-4ad9-9cd1-2d577b51f08b,8750341,1.4,1,4,2015-11-09 10:45:14 UTC,7
8751664,fb7632f5-80b4-42bb-a6ff-d47be951b48f,,1.3,1,3,2015-11-09 10:46:32 UTC,18
8751675,2317e3dd-a605-4206-8f37-8d76824b4ccc,8746360,1.11,1,11,2015-11-09 10:46:58 UTC,0
8751696,8397a66f-c506-4ad9-9cd1-2d577b51f08b,,1.4,1,4,2015-11-09 10:47:36 UTC,0
8751703,bf597970-a2b9-47bd-bcab-75f917991227,,1.7,1,7,2015-11-09 10:47:50 UTC,0
8751772,bf597970-a2b9-47bd-bcab-75f917991227,8749381,1.7,1,7,2015-11-09 10:50:28 UTC,4
8751812,28562a00-e7c9-410e-93f2-279e0b748a0f,,1.2,1,2,2015-11-09 10:52:08 UTC,4
8751910,7eaa21d6-f559-4c1b-bbee-4bd9bda021d7,,1.1,1,1,2015-11-09 10:55:41 UTC,0
8751966,33a0fdf0-4523-47eb-9f85-83604fc06a9c,,1.6,1,6,2015-11-09 10:57:42 UTC,0
8751967,c0482f6a-0efe-4f02-b87f-4d814b023125,,1.2,1,2,2015-11-09 10:57:44 UTC,0
8751996,6b6a6873-5f4c-4582-929c-e98926b68682,,1.2,1,2,2015-11-09 10:58:38 UTC,0
8752029,bf597970-a2b9-47bd-bcab-75f917991227,,1.8,1,8,2015-11-09 10:59:38 UTC,2
8752061,18290ccf-b2e2-4127-b681-a1a8c0be4688,,1.5,1,5,2015-11-09 11:00:42 UTC,0
